Clave	Descripcion
1000000	NO APLICA
1111000	Cultivo de semillas oleaginosas, leguminosas y cereales
1112000	Cultivo de hortalizas
1113000	Cultivo de frutales y nueces
1114000	Cultivo en invernaderos y viveros, y floricultura
1119000	Otros cultivos
1121000	Explotación de bovinos
1122000	Explotación de porcinos
1123000	Explotación avícola
1124000	Explotación de ovinos y caprinos
1125000	Acuicultura
1129000	Explotación de otros animales
1131000	Silvicultura
1132000	Viveros forestales y recolección de productos forestales
1133000	Tala de árboles
1141000	Pesca
1142000	Caza y captura
1151000	Servicios relacionados con la agricultura
1152000	Servicios relacionados con la cría y explotación de animales
1153000	Servicios relacionados con el aprovechamiento forestal
2110000	Extracción de petróleo y gas
2121000	Minería de carbón mineral
2122100	Minería de hierro
2122210	Minería de oro
2122220	Minería de plata
2122300	Minería de cobre, plomo y zinc
2122900	Minería de otros minerales metálicos
2123000	Minería de minerales no metálicos
2130000	Servicios relacionados con la minería
2211100	Generación, transmisión y distribución de energía eléctrica
2211200	Transmisión y distribución de energía eléctrica
2221000	Captación, tratamiento y suministro de agua
2222000	Suministro de gas por ductos al consumidor final
2361110	Edificación de vivienda unifamiliar
2361120	Edificación de vivienda multifamiliar
2361130	Supervisión de edificación residencial
2362100	Edificación de naves y plantas industriales
2362200	Edificación de inmuebles comerciales y de servicios
2371000	Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicaciones
2372000	División de terrenos y construcción de obras de urbanización
2373000	Construcción de vías de comunicación
2379000	Otras construcciones de ingeniería civil
2381000	Cimentaciones, montaje de estructuras prefabricadas y trabajos en exteriores
2382000	Instalaciones y equipamiento en construcciones
2383000	Trabajos de acabados en edificaciones
2384000	Servicios de blindaje parcial o total de inmuebles
2389000	Otros trabajos especializados para la construcción
3110000	Industria alimentaria
3121000	Industria de las bebidas
3122000	Industria del tabaco
3130000	Fabricación de insumos textiles y acabado de textiles
3140000	Fabricación de productos textiles, excepto prendas de vestir
3150000	Fabricación de prendas de vestir
3160000	Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos
3210000	Industria de la madera
3220000	Industria del papel
3230000	Impresión e industrias conexas
3240000	Fabricación de productos derivados del petróleo y del carbón
3251000	Fabricación de productos químicos básicos
3252000	Fabricación de resinas y hules sintéticos, y fibras químicas
